,Adipocyte,Endothelial cell (lymphatic),Endothelial cell (vascular),Fibroblast,ICCs,Immune (B cell),Immune (DC/macrophage),Immune (NK cell),Immune (T cell),Immune (mast cell),Myocyte (smooth muscle),Neuronal,Pericyte/SMC,Schwann cell
AFF1,1.5422547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPARCL1,0.0,0.0,2.4317555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9642171,0.0,3.0341105,0.0
MMRN1,0.0,3.1303434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCSER1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9804629,0.0,0.0
ADH1B,2.1892056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPP3CA,1.9592274,2.1053293,0.0,0.0,0.0,2.9020646,0.0,2.4434805,0.0,0.0,0.0,0.0,0.0,0.0
BANK1,0.0,0.0,0.0,0.0,0.0,3.8969278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0814521,0.0,2.6703744
CAMK2D,1.2179898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNPO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0492969,0.0,0.0,0.0
PDE5A,1.5754439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAML3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5504875,0.0,0.0,0.0,0.0
ARHGAP10,1.9426601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NR3C2,1.717839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH3D19,2.0248034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM131L,1.6024349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUCY1A1,0.0,0.0,0.0,0.0,3.0864246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FSTL5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0920408,0.0,0.0
TLL1,0.0,2.4024532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
