,Endothelia,Fibroblast,Lymphocyte,MP & DC,Mural cell,Neutrophil
NDUFC1,0.0,1.0,0.0,0.0,0.0,0.0
RPS3A,0.0,0.012726855278015137,0.20798172950744628,0.15622607469558716,0.029921889305114746,0.00019969940185546876
GUCY1A1,0.0,0.0,0.0,0.0,1.0,0.0
CPE,0.0,0.8,0.0,0.0,0.9389050245285034,0.0
PDLIM3,0.0,1.0,0.0,0.0,0.0,0.0
BASP1,0.0,0.0,0.0,0.8,0.0,0.9157346844673157
SUB1,0.0,0.6,0.7395053386688233,0.628850793838501,0.0,0.0
FYB1,0.0,0.0,0.8,0.8082955002784729,0.0,0.0
RPL37,0.0952604055404663,0.06661392450332641,0.26855566501617434,0.19460794925689698,0.046177899837493895,0.0
C7,0.0,1.0,0.0,0.0,0.0,0.0
SELENOP,0.0,1.0,0.0,0.0,0.0,0.0
GZMA,0.0,0.0,1.0,0.0,0.0,0.0
IL6ST,0.0,1.0,0.0,0.0,0.0,0.0
GPBP1,0.0,0.0,0.0,1.0,0.0,0.0
PIK3R1,0.0,1.0,0.0,0.0,0.0,0.0
MAP1B,0.0,0.8,0.0,0.0,0.8894127011299133,0.0
BTF3,0.2,0.22142959833145143,0.26971681118011476,0.24492956399917604,0.2705332517623901,0.0
NSA2,0.0,0.0,0.0,1.0,0.0,0.0
TBCA,0.0,0.8052312135696411,0.0,0.8,0.0,0.0
ZFYVE16,0.0,0.0,0.0,1.0,0.0,0.0
RPS23,0.21369484663009644,0.20921467542648314,0.3307364583015442,0.29308905601501467,0.2,0.0
VCAN,0.0,1.0,0.0,0.0,0.0,0.0
COX7C,0.0,0.4057419776916504,0.4305008888244629,0.4,0.5062853693962097,0.0
MEF2C,0.0,0.0,0.0,0.8,0.856850802898407,0.0
ENSG00000248323,0.0,0.0,0.0,1.0,0.0,0.0
GLRX,0.0,0.0,0.0,1.0,0.0,0.0
ENSG00000153113,0.0,0.8077172756195068,0.0,0.8,0.0,0.0
CHD1,0.0,0.0,0.0,1.0,0.0,0.0
REEP5,0.0,0.8024803638458252,0.0,0.8,0.0,0.0
SNX2,0.0,0.0,0.0,1.0,0.0,0.0
PPIC,0.0,1.0,0.0,0.0,0.0,0.0
HINT1,0.0,0.43788182735443115,0.5242419242858887,0.4,0.44034533500671386,0.0
IRF1,0.0,0.0,1.0,0.0,0.0,0.0
UQCRQ,0.0,0.808194363117218,0.0,0.8,0.0,0.0
SKP1,0.0,0.47263221740722655,0.44000195264816283,0.4,0.5571923613548279,0.0
UBE2B,0.0,0.8102686762809753,0.0,0.8,0.0,0.0
MACROH2A1,0.0,0.0,0.0,1.0,0.0,0.0
TGFBI,0.0,0.0,0.0,1.0,0.0,0.0
EGR1,0.0,0.0,0.0,1.0,0.0,0.0
ETF1,0.0,0.0,0.0,1.0,0.0,0.0
PAIP2,0.0,0.0,0.0,1.0,0.0,0.0
CD14,0.0,0.0,0.0,1.0,0.0,0.0
NDFIP1,0.0,0.9128671646118164,0.0,0.8,0.0,0.0
ENSG00000249669,0.0,0.0,0.0,0.0,1.0,0.0
CSNK1A1,0.0,0.8,0.0,0.8506471395492554,0.0,0.0
CSF1R,0.0,0.0,0.0,1.0,0.0,0.0
PDGFRB,0.0,0.0,0.0,0.0,1.0,0.0
CD74,0.8,0.0,0.0,0.8309424996376038,0.0,0.0
RPS14,0.2022771120071411,0.2,0.36732985973358157,0.2931950330734253,0.20350949764251708,0.0
SPARC,0.0,0.8,0.0,0.0,0.8415312051773072,0.0
EBF1,0.0,1.0,0.0,0.0,0.0,0.0
LCP2,0.0,0.0,0.0,1.0,0.0,0.0
NPM1,0.0,0.4,0.5763356447219848,0.4322372317314148,0.42283273935317994,0.0
DUSP1,0.6,0.0,0.0,0.6562820553779602,0.0,0.6537149548530579
ATP6V0E1,0.0,0.6082312941551209,0.6052283406257629,0.6,0.0,0.0
HIGD2A,0.0,0.0,0.0,1.0,0.0,0.0
PRELID1,0.0,0.0,0.0,1.0,0.0,0.0
TMED9,0.0,1.0,0.0,0.0,0.0,0.0
HNRNPH1,0.0,0.6,0.6740400791168213,0.6801661968231201,0.0,0.0
CANX,0.0,0.8,0.0,0.8051876664161682,0.0,0.0
SQSTM1,0.0,0.8027515053749085,0.0,0.8,0.0,0.0
RNF130,0.0,0.0,0.0,1.0,0.0,0.0
MGAT1,0.0,0.0,0.0,1.0,0.0,0.0
BTNL9,1.0,0.0,0.0,0.0,0.0,0.0
RACK1,0.2,0.20610458850860597,0.3305100440979004,0.30150628089904785,0.21144205331802368,0.0
SERPINB1,0.0,0.0,0.0,1.0,0.0,0.0
SERPINB9,0.0,0.0,0.0,1.0,0.0,0.0
TMEM14C,0.0,1.0,0.0,0.0,0.0,0.0
PHACTR1,0.0,0.0,0.0,1.0,0.0,0.0
CD83,0.0,0.0,0.0,1.0,0.0,0.0
DEK,0.0,0.0,0.0,1.0,0.0,0.0
C6orf62,0.0,0.0,0.0,1.0,0.0,0.0
HLA-F,0.0,0.0,1.0,0.0,0.0,0.0
HLA-A,0.3136799693107605,0.08071402311325074,0.3657025933265686,0.1684190034866333,0.0,0.154654061794281
HLA-E,0.4677270889282227,0.2,0.3743368864059448,0.2745847344398499,0.0,0.3024503469467163
PPP1R10,0.0,0.0,0.0,1.0,0.0,0.0
TUBB,0.0,0.9188781023025513,0.0,0.8,0.0,0.0
IER3,0.0,0.0,0.0,1.0,0.0,0.0
HLA-C,0.48566880226135256,0.24845730066299437,0.5477035760879516,0.3890399694442749,0.2,0.0
